absorber_thickness,defect_density,series_resistance,shunt_resistance,PCE (%)
1.00E+00,1.00E+17,1.00E+00,1.00E+06,1.75E+01
1.00E+00,1.00E+17,1.00E+00,1.00E+07,1.75E+01
1.10E+00,1.00E+13,1.00E+00,1.00E+02,1.50E+01
1.10E+00,1.00E+13,1.00E+00,1.00E+03,2.80E+01
1.10E+00,1.00E+13,1.00E+00,1.00E+04,2.94E+01
1.10E+00,1.00E+13,1.00E+00,1.00E+05,2.95E+01
1.10E+00,1.00E+13,1.00E+00,1.00E+06,2.95E+01
1.10E+00,1.00E+13,1.00E+00,1.00E+07,2.95E+01
1.10E+00,1.00E+14,1.00E+00,1.00E+02,1.48E+01
1.10E+00,1.00E+14,1.00E+00,1.00E+03,2.67E+01
1.10E+00,1.00E+14,1.00E+00,1.00E+04,2.80E+01
1.10E+00,1.00E+14,1.00E+00,1.00E+05,2.81E+01
1.10E+00,1.00E+14,1.00E+00,1.00E+06,2.81E+01
1.10E+00,1.00E+14,1.00E+00,1.00E+07,2.81E+01
1.10E+00,1.00E+15,1.00E+00,1.00E+02,1.43E+01
1.10E+00,1.00E+15,1.00E+00,1.00E+03,2.50E+01
1.10E+00,1.00E+15,1.00E+00,1.00E+04,2.61E+01
1.10E+00,1.00E+15,1.00E+00,1.00E+05,2.62E+01
1.10E+00,1.00E+15,1.00E+00,1.00E+06,2.62E+01
1.10E+00,1.00E+15,1.00E+00,1.00E+07,2.62E+01
1.10E+00,1.00E+16,1.00E+00,1.00E+02,1.27E+01
1.10E+00,1.00E+16,1.00E+00,1.00E+03,2.16E+01
1.10E+00,1.00E+16,1.00E+00,1.00E+04,2.25E+01
1.10E+00,1.00E+16,1.00E+00,1.00E+05,2.26E+01
1.10E+00,1.00E+16,1.00E+00,1.00E+06,2.27E+01
1.10E+00,1.00E+16,1.00E+00,1.00E+07,2.27E+01
1.10E+00,1.00E+17,1.00E+00,1.00E+02,1.02E+01
1.10E+00,1.00E+17,1.00E+00,1.00E+03,1.67E+01
1.10E+00,1.00E+17,1.00E+00,1.00E+04,1.74E+01
1.10E+00,1.00E+17,1.00E+00,1.00E+05,1.75E+01
1.10E+00,1.00E+17,1.00E+00,1.00E+06,1.75E+01
1.10E+00,1.00E+17,1.00E+00,1.00E+07,1.75E+01
1.20E+00,1.00E+13,1.00E+00,1.00E+02,1.51E+01
1.20E+00,1.00E+13,1.00E+00,1.00E+03,2.81E+01
1.20E+00,1.00E+13,1.00E+00,1.00E+04,2.94E+01
1.20E+00,1.00E+13,1.00E+00,1.00E+05,2.96E+01
1.20E+00,1.00E+13,1.00E+00,1.00E+06,2.96E+01
1.20E+00,1.00E+13,1.00E+00,1.00E+07,2.96E+01
1.20E+00,1.00E+14,1.00E+00,1.00E+02,1.49E+01
1.20E+00,1.00E+14,1.00E+00,1.00E+03,2.68E+01
1.20E+00,1.00E+14,1.00E+00,1.00E+04,2.80E+01
1.20E+00,1.00E+14,1.00E+00,1.00E+05,2.81E+01
1.20E+00,1.00E+14,1.00E+00,1.00E+06,2.81E+01
1.20E+00,1.00E+14,1.00E+00,1.00E+07,2.81E+01
1.20E+00,1.00E+15,1.00E+00,1.00E+02,1.44E+01
1.20E+00,1.00E+15,1.00E+00,1.00E+03,2.50E+01
1.20E+00,1.00E+15,1.00E+00,1.00E+04,2.61E+01
1.20E+00,1.00E+15,1.00E+00,1.00E+05,2.62E+01
1.20E+00,1.00E+15,1.00E+00,1.00E+06,2.62E+01
1.20E+00,1.00E+15,1.00E+00,1.00E+07,2.62E+01
1.20E+00,1.00E+16,1.00E+00,1.00E+02,1.26E+01
1.20E+00,1.00E+16,1.00E+00,1.00E+03,2.15E+01
1.20E+00,1.00E+16,1.00E+00,1.00E+04,2.25E+01
1.20E+00,1.00E+16,1.00E+00,1.00E+05,2.26E+01
1.20E+00,1.00E+16,1.00E+00,1.00E+06,2.26E+01
1.20E+00,1.00E+16,1.00E+00,1.00E+07,2.26E+01
1.20E+00,1.00E+17,1.00E+00,1.00E+02,1.02E+01
1.20E+00,1.00E+17,1.00E+00,1.00E+03,1.67E+01
1.20E+00,1.00E+17,1.00E+00,1.00E+04,1.74E+01
1.20E+00,1.00E+17,1.00E+00,1.00E+05,1.75E+01
1.20E+00,1.00E+17,1.00E+00,1.00E+06,1.75E+01
1.20E+00,1.00E+17,1.00E+00,1.00E+07,1.75E+01
1.30E+00,1.00E+13,1.00E+00,1.00E+02,1.52E+01
1.30E+00,1.00E+13,1.00E+00,1.00E+03,2.81E+01
1.30E+00,1.00E+13,1.00E+00,1.00E+04,2.95E+01
1.30E+00,1.00E+13,1.00E+00,1.00E+05,2.96E+01
1.30E+00,1.00E+13,1.00E+00,1.00E+06,2.96E+01
1.30E+00,1.00E+13,1.00E+00,1.00E+07,2.96E+01
1.30E+00,1.00E+14,1.00E+00,1.00E+02,1.50E+01
1.30E+00,1.00E+14,1.00E+00,1.00E+03,2.68E+01
